2026-08-14 01:47:15 | k=306 | S=485 | n0桁数=149 | テスト数=4000 | 脱落=4000 | 完走=0 | 19秒
2026-08-14 01:47:35 | k=306 | S=485 | n0桁数=149 | テスト数=8000 | 脱落=8000 | 完走=0 | 39秒
2026-08-14 01:47:55 | k=306 | S=485 | n0桁数=149 | テスト数=12000 | 脱落=12000 | 完走=0 | 59秒
2026-08-14 01:48:15 | k=306 | S=485 | n0桁数=149 | テスト数=16000 | 脱落=16000 | 完走=0 | 79秒
2026-08-14 01:48:35 | k=306 | S=485 | n0桁数=149 | テスト数=20000 | 脱落=20000 | 完走=0 | 99秒
2026-08-14 01:48:55 | k=306 | S=485 | n0桁数=149 | テスト数=24000 | 脱落=24000 | 完走=0 | 119秒
2026-08-14 01:49:15 | k=306 | S=485 | n0桁数=149 | テスト数=28000 | 脱落=28000 | 完走=0 | 139秒
2026-08-14 01:49:35 | k=306 | S=485 | n0桁数=149 | テスト数=32000 | 脱落=32000 | 完走=0 | 159秒
2026-08-14 01:49:55 | k=306 | S=485 | n0桁数=149 | テスト数=36000 | 脱落=36000 | 完走=0 | 179秒
2026-08-14 01:50:15 | k=306 | S=485 | n0桁数=149 | テスト数=40000 | 脱落=40000 | 完走=0 | 199秒
2026-08-14 01:50:35 | k=306 | S=485 | n0桁数=149 | テスト数=44000 | 脱落=44000 | 完走=0 | 219秒
2026-08-14 01:50:55 | k=306 | S=485 | n0桁数=149 | テスト数=48000 | 脱落=48000 | 完走=0 | 239秒
2026-08-14 01:51:15 | k=306 | S=485 | n0桁数=149 | テスト数=52000 | 脱落=52000 | 完走=0 | 259秒
2026-08-14 01:51:35 | k=306 | S=485 | n0桁数=149 | テスト数=56000 | 脱落=56000 | 完走=0 | 279秒
2026-08-14 01:51:56 | k=306 | S=485 | n0桁数=149 | テスト数=60000 | 脱落=60000 | 完走=0 | 299秒
2026-08-14 01:52:16 | k=306 | S=485 | n0桁数=149 | テスト数=64000 | 脱落=64000 | 完走=0 | 320秒
2026-08-14 01:52:36 | k=306 | S=485 | n0桁数=149 | テスト数=68000 | 脱落=68000 | 完走=0 | 340秒
2026-08-14 01:52:56 | k=306 | S=485 | n0桁数=149 | テスト数=72000 | 脱落=72000 | 完走=0 | 360秒
2026-08-14 01:53:16 | k=306 | S=485 | n0桁数=149 | テスト数=76000 | 脱落=76000 | 完走=0 | 380秒
2026-08-14 01:53:36 | k=306 | S=485 | n0桁数=149 | テスト数=80000 | 脱落=80000 | 完走=0 | 400秒
2026-08-14 01:53:56 | k=306 | S=485 | n0桁数=149 | テスト数=84000 | 脱落=84000 | 完走=0 | 420秒
2026-08-14 01:54:16 | k=306 | S=485 | n0桁数=149 | テスト数=88000 | 脱落=88000 | 完走=0 | 440秒
2026-08-14 01:54:36 | k=306 | S=485 | n0桁数=149 | テスト数=92000 | 脱落=92000 | 完走=0 | 460秒
2026-08-14 01:54:56 | k=306 | S=485 | n0桁数=149 | テスト数=96000 | 脱落=96000 | 完走=0 | 480秒
2026-08-14 01:55:16 | k=306 | S=485 | n0桁数=149 | テスト数=100000 | 脱落=100000 | 完走=0 | 500秒
2026-08-14 01:55:36 | k=306 | S=485 | n0桁数=149 | テスト数=104000 | 脱落=104000 | 完走=0 | 520秒
2026-08-14 01:55:56 | k=306 | S=485 | n0桁数=149 | テスト数=108000 | 脱落=108000 | 完走=0 | 540秒
2026-08-14 01:56:16 | k=306 | S=485 | n0桁数=149 | テスト数=112000 | 脱落=112000 | 完走=0 | 560秒
2026-08-14 01:56:36 | k=306 | S=485 | n0桁数=149 | テスト数=116000 | 脱落=116000 | 完走=0 | 580秒
2026-08-14 01:56:56 | k=306 | S=485 | n0桁数=149 | テスト数=120000 | 脱落=120000 | 完走=0 | 600秒
2026-08-14 01:57:16 | k=306 | S=485 | n0桁数=149 | テスト数=124000 | 脱落=124000 | 完走=0 | 620秒
2026-08-14 01:57:36 | k=306 | S=485 | n0桁数=149 | テスト数=128000 | 脱落=128000 | 完走=0 | 640秒
2026-08-14 01:57:56 | k=306 | S=485 | n0桁数=149 | テスト数=132000 | 脱落=132000 | 完走=0 | 660秒
2026-08-14 01:58:16 | k=306 | S=485 | n0桁数=149 | テスト数=136000 | 脱落=136000 | 完走=0 | 680秒
2026-08-14 01:58:36 | k=306 | S=485 | n0桁数=149 | テスト数=140000 | 脱落=140000 | 完走=0 | 700秒
2026-08-14 01:58:56 | k=306 | S=485 | n0桁数=149 | テスト数=144000 | 脱落=144000 | 完走=0 | 720秒
2026-08-14 01:59:16 | k=306 | S=485 | n0桁数=149 | テスト数=148000 | 脱落=148000 | 完走=0 | 740秒
2026-08-14 01:59:36 | k=306 | S=485 | n0桁数=149 | テスト数=152000 | 脱落=152000 | 完走=0 | 760秒
